Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,42.540001,45.025002,41.174999,41.857498,39.952976,2638717600
2018-02-01,41.792500,45.154999,37.560001,44.529999,42.503876,3711577200
2018-03-01,44.634998,45.875000,41.235001,41.945000,40.199734,2854910800
2018-04-01,41.660000,44.735001,40.157501,41.314999,39.595936,2664617200
2018-05-01,41.602501,47.592499,41.317501,46.717499,44.773647,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,44.522980,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,45.768883,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,54.749969,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,54.485802,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,52.825207,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,43.103020,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,38.205803,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,40.313007,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,41.938221,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,46.204620,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,48.812218,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.585117,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,48.328697,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,52.020744,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,50.970757,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,54.897453,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,60.973743,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,65.505836,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,72.192863,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,76.091995,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,67.204628,3019851200
2020-03-01,70.570000,76.000000,53.152500,63.572498,62.664707,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.401154,3266123200
2020-05-01,71.562500,81.059998,71.462502,79.485001,78.349983,701601300
2020-06-01,79.437500,93.095001,79.302498,91.199997,90.879066,2261168500
2020-07-01,91.279999,106.415001,89.144997,106.260002,105.886086,3020496000
2020-08-01,108.199997,131.000000,107.892502,129.039993,128.585907,4070623100
2020-09-01,132.759995,137.979996,103.099998,115.809998,115.610542,3885767100
2020-10-01,117.639999,125.389999,107.720001,108.860001,108.672516,2895016800
2020-11-01,109.110001,121.989998,107.320000,119.050003,118.844963,2122864400
2020-12-01,121.010002,125.949997,120.010002,122.410004,122.410004,826597900
2020-12-11,122.430000,122.760002,120.550003,122.410004,122.410004,81462378
